order_date,order_id,product_code,sale,quantity,shipment_id_mapped
2026-01-09,1001,RZCVBPAUWU,133,2,
2026-01-12,1002,RZCVBPAUWU,443,2,
2026-01-10,1003,7GDMQCI9KP,430,2,
2026-01-12,1004,RZCVBPAUWU,78,1,
2026-01-07,1005,RZCVBPAUWU,3,2,
2026-01-06,1006,RZCVBPAUWU,29,1,
2026-01-09,1007,7GDMQCI9KP,235,1,
2026-01-11,1008,7GDMQCI9KP,74,1,
2026-01-09,1009,RZCVBPAUWU,50,1,
2026-01-11,1010,RZCVBPAUWU,114,1,
2026-01-09,1001,RZCVBPAUWU,133,2,
2026-01-12,1002,RZCVBPAUWU,443,2,
2026-01-10,1003,7GDMQCI9KP,430,2,
2026-01-12,1004,RZCVBPAUWU,78,1,
2026-01-07,1005,RZCVBPAUWU,3,2,
2026-01-06,1006,RZCVBPAUWU,29,1,
2026-01-09,1007,7GDMQCI9KP,235,1,
2026-01-11,1008,7GDMQCI9KP,74,1,
2026-01-09,1009,RZCVBPAUWU,50,1,
2026-01-11,1010,RZCVBPAUWU,114,1,
